owner,market,net_usdc
0xe5a0ed3ad910a092889212c675604d3fb52e1244,compound_v2,203.389091675184
0x8f71a2ed2e93daeeea5334c7412a1b55b6404f5e,compound_v2,108.210731239344
0x9269d9f4eca5ea91e4d5aa3bdd51c20ff6166c6a,compound_v2,976.8190995101161
0x580d9720171ebb7a12347fd739d06370e6e370ad,compound_v2,217.58849044456804
0x107772061f3329280d619d7f867fcb1b180327d5,compound_v2,206.31299877418803
0xd2b6d1f47bf44bbb2e7dbd994f4dd3943e56f994,compound_v2,7938.2144657320805
0x04bed27e65dbd3cf254d7449085d807062ca66af,compound_v2,168.4147503282
0xa0e43882125726783a39256f302a1ddcef193359,compound_v2,1016.2456248689521
0xe0b18affb1bd9b681f51ce841f1ee1ebe55cd172,aave_v2,-562741.013687
0x550916fe534291b1f8a2dada841ff0515836ae42,aave_v2,-1473.645458
0xe7ca7020820af2c5786bb543c44ce649599250b6,aave_v2,-11000.0
0x37edfc95776a28c3da520ff9275275737d4307b3,aave_v2,-1346.541731
0xc842ce7214a14fa98186a010bcb43c7e99e4caf3,aave_v2,-2273633.377114
0x1729f336bb0a90ef3f9c73549a7f197a50ed4294,aave_v2,-85074.088534
0xa9bc5afa593122a7d144371bf9eae60d208a4845,aave_v2,-337934.356762
0x14a8513f75f5da2f1ce5561a5b3c1f17e799eae9,aave_v2,-415.841392
0x45a38f2d0f0fb090360514f9f2de16769fbda3e8,aave_v2,-48890.477261
0x9a20c16997eeb908df64eb37438ab8911fb820ad,aave_v2,-100.000261
0x79d4d0df5733222047fc73e6097a144f51350009,aave_v2,-16619.15773
0x497f4379159135e65b2a25ff3e9643629bf28d96,aave_v2,-95008.568566
0xf681e0c98e54943d4dfa634fdadc17ed8a0e73dd,aave_v2,-15064.249272
0xc14ec7ba7bc9a46dc7ddf880fbb869abb125c768,aave_v2,-222609.405128
0x1440700e23df9244fe750b08a47cdf36cdc7b899,aave_v2,-249.999797
0xae74d4af5310170f8b2c0227b0c8ca70c8e2c78f,aave_v2,-102.441394
0xfc4fe3af75beb6ddc08fbe5c52a66ed4a9b0ff97,aave_v2,-6500.0
0x6488ea4a5177adc1b150bb7c13944ed3ab6a85a6,aave_v2,-859.798285
0x685f1e971d4fc419f4fde70020fb4942ac410e69,aave_v2,-202.336312
0xdc5a537401184a63bc299f380eb5b255f839afb5,aave_v2,-48973.750316
0x154001a2f9f816389b2f6d9e07563ce0359d813d,aave_v2,-107331.665641
0x9b4202aa69cad363b604d044c604c618104192d9,aave_v2,-51864.030468
0xafbea85f4d132cf6cdb124decdd7a915f2a47956,aave_v2,-112669.727857
0x53fd0eb22f25b076206f747707724e14140a9c71,compound_v2,0.0
