owner,n_sells,usd_sold,dumped
0x0507b056e0e39b9311e00ea1e77794221f4e62fe,0,0,0
0x9f0d3cc63c7909f8837446cfcdd13e07a57e1b3b,0,0,0
0x65c7e3175275fe3744ef4e4f3e2a97897a21281f,0,0,0
0x45dc4ff2503db06c848d11a13b33d3c384c3f1d4,0,0,0
0x3741287b9f3a83eb7a030703c1565f20e1036745,0,0,0
0x9b857c2c8d4c7318e496c96ec282250e532d64a4,0,0,0
0x9b921fad875b06183d3992a125026c89915d71f6,0,0,0
0x65b1b96bd01926d3d60dd3c8bc452f22819443a9,0,0,0
0x1e5630ee2c7fcf92197fa632c3d288a4865a275f,0,0,0
0x6e5ed1a5901e81f6bc008023d766454d831b6617,0,0,0
0xd304b34167dabad3e8d13d8067ab9b4a72fec3c2,0,0,0
0x211c2e65d113898740e923f0d7b0ec4924d481c7,0,0,0
0x4f2e8a7274d26932d264e49fd83b2e1fd37df2c3,0,0,0
0x5f7e0e573ba403915e3dc934d71f6c8ebe2250f6,0,0,0
0x66b53fa04a280b0f00062dd08f016af6652e7700,0,0,0
0xfca1430f46267ae2e44d52831dcda37058c5860a,0,0,0
0x9b4e390e10e4308ff3e09422de7a547b2a6f8823,0,0,0
0x12dbe41c90b872b1e2215450005a7d20868ea748,0,0,0
0xf6c239eba307cb2e054fa696664f2170b9219d98,0,0,0
0x9031fca242764c8ccc0103ff8fc66069ea04e155,0,0,0
0xbcf868869ae73954ffb33a63199c05769fc1061b,0,0,0
0x09a01a496977407699fdf84e2ef2b1fedb96d9f4,0,0,0
0xf9c95fbcdf7a3b8c21a08f1753cb5a5e34368fef,0,0,0
0x6736af58a42e0da847c59e1fec7d0519ed7de1e3,0,0,0
0x13f2c62028750c1ceb9fb05957ce5fd53997c657,0,0,0
0xa11103d29284d6830d74bfc034ebe4e36aba0d52,0,0,0
0xf365928d4fc85d2e3ed7032ec65f00531ed6a589,0,0,0
0x354c3c410cc7d05a3ff0422d15a5ea62ded99ba2,0,0,0
0xf13f7bf69a5e57ea3367222c65dd3380096d3fbf,0,0,0
0x095239d39de22db2b898f48a8c6d95a73af42676,0,0,0
0xc28bb47b70a75f96b5f987343a93ff0aefce0888,0,0,0
0x2ed2e448da9947dbd76bb5d5d26d8604b0d8b627,0,0,0
0xc402313bc72947cee31731961e376b8b16803b87,0,0,0
0x36162c7b2d4a94686d74f8c9649769e1733ee42e,0,0,0
0xdcf7b342d39697fddcda267a2a8262e3bfc52de0,0,0,0
0x9fef1eb4b4e78961233c95904c124520b25a3e46,0,0,0
0x0b2c78a8269b903655d6a1b65fca96ebbc90424c,0,0,0
0xbabef3c7ff51106971a9ef7d873d06ebb3e9f723,0,0,0
0xa1cfba7483faa5372a2fcdd777046ed4b95db966,0,0,0
0x035bf17c40dc70447ab668ef4b4340010de415b1,0,0,0
0xf73a5c8aa7575d9f7db33eb2f13216483790151a,0,0,0
0x85531c2444af32739ae4b08eeb055d43c9c94db9,0,0,0
0xc04617e2f25360e44d8796f1ab222df40979ab66,0,0,0
0xf8b65130b6370a54631e4b989b8a9a7c3d85956f,0,0,0
0x5def1c4ff0c615e4d828e69f5841633567f4dd09,0,0,0
0xdad8544cde28584afa5a4f590c4ef8d6582cea62,0,0,0
0xb7a0f4fe82302f5ee06611a54f8d4d93942ce4a3,0,0,0
0x8d0f499dccb07c42ef6c793a4e69b044475e0f6e,0,0,0
0x28fbaced10d2a547b9f47db5f6b49d44301b6c85,0,0,0
0x63f98f820626bdfa88b4b19b07209e0dde1ca72a,0,0,0
0x09f25e2acb340ce72e7b63e9667c172233f3973d,0,0,0
0xac06ea9e8c9781b94cd991ef79152c66643bf5ff,0,0,0
0x97e7f9f6987d3b06e702642459f7c4097914ea87,0,0,0
0x4739151e6159b2a22a5abf47d13747a6fcec8be1,0,0,0
0x8761950136a003b28589e4e13149a9ff39467b3a,0,0,0
0x5e102d3f926a2a9309d0c3d3b9ebda9b3fcdb61c,0,0,0
